question,first_correct_idx,total_outputs,correct_codes_len,unique_code_len,k,difficulty,pass_k_metric_compilation,pass_k_metric_functional_correctness,pass_k_metric_synthesisability,pass_k_metric_overall,metadata_time,metadata_input_tokens,metadata_output_tokens,metadata_avg_tokens_per_sample,metadata_total_tokens,metadata_output_tokens_per_second,metadata_total_tokens_per_second
"// This is a signed adder that adds two 8-bit 2's complement numbers. It also captures a signed overflow. 
module signed_adder(input [7:0] a, input [7:0] b, output [7:0] s, output overflow ); ",0,10,10,3,8,advanced,1.0,1.0,1.0,1.0,32.786393880844116,89,814,81.4,903,24.83,27.54
"// This is a decade counter that counts from 0 through 9, inclusive. It counts only when slowena is high.
module count_slow(input clk, input slowena, input reset, output reg [3:0] q);",0,10,10,2,8,advanced,1.0,1.0,1.0,1.0,34.52571177482605,78,1324,132.4,1402,38.35,40.61
"// This is a finite state machine that recognizes the sequence 101 on the input signal x. 
module adv_fsm(
input clk,
input reset,
input x,
output z ); 
reg [1:0] present_state, next_state;
parameter IDLE=0, S1=1, S10=2, S101=3;
// output signal z is asserted to 1 when present_state is S101 
// present_state is reset to IDLE when rset is high
// otherwise it is assigned next state
// if present_state is IDLE, next_state is assigned S1 if x is 1, otherwise next_state stays at IDLE
// if present_state is S1, next_state is assigned S10 if x is 0, otherwise next_state stays at IDLE 
// if present_state is S10, next_state is assigned S101 if x is 1, otherwise next_state stays at IDLE 
// if present_state is S101, next_state is assigned IDLE
",-1,10,0,0,8,advanced,0.0,0.0,0.0,0.0,45.82476186752319,269,3000,300.0,3269,65.47,71.34
"// Design a 64-bit arithmetic shift register, with synchronous load. 
// When ena is high, the shifter can shift both left and right, and by 1 or 8 bit positions, selected by amount.
module advshift(input clk,
input load,
input ena,
input [1:0] amount,
input [63:0] data,
output reg [63:0] q); 
// shift according to the following values of amount:
// 2'b00: shift left by 1 bit.
// 2'b01: shift left by 8 bits.
// 2'b10: shift right by 1 bit.
// 2'b11: shift right by 8 bits.",-1,10,0,0,8,advanced,1.0,0.0,1.0,0.6666666666666666,39.584599018096924,196,2390,239.0,2586,60.38,65.33
"// This is an ABRO FSM. 
// It outputs 1 when 1 is received for signals a and b irrespetive of their order, either simultaneously or non-simultaneously.
module abro( 
input clk,
input reset,
input  a,
input  b,
output z );
parameter IDLE = 0,
SA = 1,
SB = 2,
SAB = 3;
reg [1:0] cur_state,next_state;",-1,10,0,0,8,advanced,0.0,0.0,0.0,0.0,47.14094424247742,141,3000,300.0,3141,63.64,66.63
"// This is a module that assigns the output to the input
module wire_assign( input in, output out );",0,10,10,1,8,basic,1.0,1.0,1.0,1.0,19.330389738082886,49,320,32.0,369,16.55,19.09
"// This is a module that implements an AND gate
module and_gate( 
input a, 
input b, 
output out );",0,10,10,1,8,basic,1.0,1.0,1.0,1.0,26.130435943603516,56,430,43.0,486,16.46,18.6
"// This is a 3-bit priority encoder. It outputs the position of the first high bit.
module priority_encoder( 
input [2:0] in,
output reg [1:0] pos ); ",-1,10,0,0,8,basic,1.0,0.0,1.0,0.6666666666666666,38.53824472427368,74,1436,143.6,1510,37.26,39.18
"// This is a 2-to-1 multiplexer.
module mux( 
input [4:0] a, b,
input sel,
output [4:0] out );",0,10,10,1,8,basic,1.0,1.0,1.0,1.0,24.887001752853394,70,530,53.0,600,21.3,24.11
"// This is a half adder.
module half_adder( 
input a, b,
output cout, sum );",0,10,10,1,8,intermediate,1.0,1.0,1.0,1.0,27.989772081375122,53,490,49.0,543,17.51,19.4
