question,first_correct_idx,total_outputs,correct_codes_len,unique_code_len,k,difficulty,pass_k_metric_compilation,pass_k_metric_functional_correctness,pass_k_metric_synthesisability,pass_k_metric_overall,metadata_time,metadata_input_tokens,metadata_output_tokens,metadata_avg_tokens_per_sample,metadata_total_tokens,metadata_output_tokens_per_second,metadata_total_tokens_per_second
"// This is a signed adder that adds two 8-bit 2's complement numbers. It also captures a signed overflow. 
module signed_adder(input [7:0] a, input [7:0] b, output [7:0] s, output overflow ); ",1,10,2,2,8,advanced,1.0,0.9777777777777777,1.0,0.9925925925925926,21.05778932571411,84,3000,300.0,3084,142.47,146.45
"// This is a decade counter that counts from 0 through 9, inclusive. It counts only when slowena is high.
module count_slow(input clk, input slowena, input reset, output reg [3:0] q);",1,10,7,2,8,advanced,1.0,1.0,1.0,1.0,20.959455251693726,73,3000,300.0,3073,143.13,146.62
"// This is a finite state machine that recognizes the sequence 101 on the input signal x. 
module adv_fsm(
input clk,
input reset,
input x,
output z ); 
reg [1:0] present_state, next_state;
parameter IDLE=0, S1=1, S10=2, S101=3;
// output signal z is asserted to 1 when present_state is S101 
// present_state is reset to IDLE when rset is high
// otherwise it is assigned next state
// if present_state is IDLE, next_state is assigned S1 if x is 1, otherwise next_state stays at IDLE
// if present_state is S1, next_state is assigned S10 if x is 0, otherwise next_state stays at IDLE 
// if present_state is S10, next_state is assigned S101 if x is 1, otherwise next_state stays at IDLE 
// if present_state is S101, next_state is assigned IDLE
",-1,10,0,0,8,advanced,0.0,0.0,0.0,0.0,25.306652784347534,270,3000,300.0,3270,118.55,129.22
"// Design a 64-bit arithmetic shift register, with synchronous load. 
// When ena is high, the shifter can shift both left and right, and by 1 or 8 bit positions, selected by amount.
module advshift(input clk,
input load,
input ena,
input [1:0] amount,
input [63:0] data,
output reg [63:0] q); 
// shift according to the following values of amount:
// 2'b00: shift left by 1 bit.
// 2'b01: shift left by 8 bits.
// 2'b10: shift right by 1 bit.
// 2'b11: shift right by 8 bits.",0,10,10,4,8,advanced,1.0,1.0,1.0,1.0,23.4166157245636,193,3000,300.0,3193,128.11,136.36
"// This is an ABRO FSM. 
// It outputs 1 when 1 is received for signals a and b irrespetive of their order, either simultaneously or non-simultaneously.
module abro( 
input clk,
input reset,
input  a,
input  b,
output z );
parameter IDLE = 0,
SA = 1,
SB = 2,
SAB = 3;
reg [1:0] cur_state,next_state;",-1,10,0,0,8,advanced,0.0,0.0,0.0,0.0,22.083948135375977,133,3000,300.0,3133,135.85,141.87
"// This is a module that assigns the output to the input
module wire_assign( input in, output out );",-1,10,0,0,8,basic,0.0,0.0,0.0,0.0,16.138925313949585,46,2430,243.0,2476,150.57,153.42
"// This is a module that implements an AND gate
module and_gate( 
input a, 
input b, 
output out );",1,10,2,2,8,basic,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9777777777777777,12.555065155029297,53,1910,191.0,1963,152.13,156.35
"// This is a 3-bit priority encoder. It outputs the position of the first high bit.
module priority_encoder( 
input [2:0] in,
output reg [1:0] pos ); ",-1,10,0,0,8,basic,1.0,0.0,1.0,0.6666666666666666,20.861841201782227,70,3000,300.0,3070,143.8,147.16
"// This is a 2-to-1 multiplexer.
module mux( 
input [4:0] a, b,
input sel,
output [4:0] out );",0,10,7,3,8,basic,1.0,1.0,1.0,1.0,17.349154710769653,64,2560,256.0,2624,147.56,151.25
"// This is a half adder.
module half_adder( 
input a, b,
output cout, sum );",0,10,10,7,8,intermediate,1.0,1.0,1.0,1.0,20.402044773101807,48,3000,300.0,3048,147.04,149.4
"// This is a counter that counts from 1 to 12
module counter( 
input clk,
input reset,
output reg [3:0] q
); ",-1,10,0,0,8,intermediate,0.0,0.0,0.0,0.0,20.660964488983154,61,3000,300.0,3061,145.2,148.15
"// This is a 5-bit maximal-length Galois LFSR with taps at bit positions 5 and 3
module lfsr( 
input clk,
input reset,
output [4:0] q
); 
reg [4:0] r_reg;
wire [4:0] r_next;
wire feedback_value;",-1,10,0,0,8,intermediate,0.8,0.0,0.8,0.5333333333333333,21.441014051437378,101,3000,300.0,3101,139.92,144.63
"// This is a Moore state machine with two states 0 and 1, one input in, and one output out. 
// Reset state is 0. Output is high in state 0. If in is low, state changes.
module simple_fsm(input clk, input reset, input in, output out);
reg present_state, next_state;
",-1,10,0,0,8,intermediate,0.0,0.0,0.0,0.0,21.439876079559326,102,3000,300.0,3102,139.93,144.68
"// This is a shift left and rotate operation
module left_rotate(input clk,input reset,input [2:0] amount,input [7:0] data,input load,output reg [7:0] out);",-1,10,0,0,8,intermediate,0.0,0.0,0.9777777777777777,0.3259259259259259,20.874943256378174,71,3000,300.0,3071,143.71,147.11
"// This is a RAM module
module ram #( parameter ADDR_WIDTH=6, parameter DATA_WIDTH=8) 
(input [DATA_WIDTH-1:0] data, input [ADDR_WIDTH-1:0] addr, input we, clk, output [DATA_WIDTH-1:0] q);
reg [DATA_WIDTH-1:0] ram[2**ADDR_WIDTH-1:0];",-1,10,0,0,8,intermediate,0.8,0.0,0.8,0.5333333333333333,21.68454623222351,114,3000,300.0,3114,138.35,143.6
