question,first_correct_idx,total_outputs,correct_codes_len,unique_code_len,k,difficulty,pass_k_metric_compilation,pass_k_metric_functional_correctness,pass_k_metric_synthesisability,pass_k_metric_overall,metadata_time,metadata_input_tokens,metadata_output_tokens,metadata_avg_tokens_per_sample,metadata_total_tokens,metadata_output_tokens_per_second,metadata_total_tokens_per_second
"// This is a signed adder that adds two 8-bit 2's complement numbers. It also captures a signed overflow. 
module signed_adder(input [7:0] a, input [7:0] b, output [7:0] s, output overflow ); ",0,10,9,8,8,advanced,1.0,1.0,1.0,1.0,6.657794952392578,84,1619,161.9,1703,243.17,255.79
"// This is a decade counter that counts from 0 through 9, inclusive. It counts only when slowena is high.
module count_slow(input clk, input slowena, input reset, output reg [3:0] q);",0,10,10,4,8,advanced,1.0,1.0,1.0,1.0,5.837124347686768,74,1317,131.7,1391,225.62,238.3
"// This is a finite state machine that recognizes the sequence 101 on the input signal x. 
module adv_fsm(
input clk,
input reset,
input x,
output z ); 
reg [1:0] present_state, next_state;
parameter IDLE=0, S1=1, S10=2, S101=3;
// output signal z is asserted to 1 when present_state is S101 
// present_state is reset to IDLE when rset is high
// otherwise it is assigned next state
// if present_state is IDLE, next_state is assigned S1 if x is 1, otherwise next_state stays at IDLE
// if present_state is S1, next_state is assigned S10 if x is 0, otherwise next_state stays at IDLE 
// if present_state is S10, next_state is assigned S101 if x is 1, otherwise next_state stays at IDLE 
// if present_state is S101, next_state is assigned IDLE
",4,10,1,1,8,advanced,0.8,0.8,0.8,0.8000000000000002,15.852642059326172,232,2997,299.7,3229,189.05,203.69
"// Design a 64-bit arithmetic shift register, with synchronous load. 
// When ena is high, the shifter can shift both left and right, and by 1 or 8 bit positions, selected by amount.
module advshift(input clk,
input load,
input ena,
input [1:0] amount,
input [63:0] data,
output reg [63:0] q); 
// shift according to the following values of amount:
// 2'b00: shift left by 1 bit.
// 2'b01: shift left by 8 bits.
// 2'b10: shift right by 1 bit.
// 2'b11: shift right by 8 bits.",-1,10,0,0,8,advanced,1.0,0.0,1.0,0.6666666666666666,12.57437014579773,166,2327,232.7,2493,185.06,198.26
"// This is an ABRO FSM. 
// It outputs 1 when 1 is received for signals a and b irrespetive of their order, either simultaneously or non-simultaneously.
module abro( 
input clk,
input reset,
input  a,
input  b,
output z );
parameter IDLE = 0,
SA = 1,
SB = 2,
SAB = 3;
reg [1:0] cur_state,next_state;",-1,10,0,0,8,advanced,0.0,0.0,0.0,0.0,9.66183352470398,121,3000,300.0,3121,310.5,323.02
"// This is a module that assigns the output to the input
module wire_assign( input in, output out );",0,10,10,2,8,basic,1.0,1.0,1.0,1.0,1.1933975219726562,48,220,22.0,268,184.35,224.57
"// This is a module that implements an AND gate
module and_gate( 
input a, 
input b, 
output out );",-1,10,0,0,8,basic,0.0,0.0,0.0,0.0,3.795307159423828,52,435,43.5,487,114.62,128.32
"// This is a 3-bit priority encoder. It outputs the position of the first high bit.
module priority_encoder( 
input [2:0] in,
output reg [1:0] pos ); ",-1,10,0,0,8,basic,1.0,0.0,1.0,0.6666666666666666,7.1034510135650635,68,1319,131.9,1387,185.68,195.26
"// This is a 2-to-1 multiplexer.
module mux( 
input [4:0] a, b,
input sel,
output [4:0] out );",0,10,10,4,8,basic,1.0,1.0,1.0,1.0,3.7791759967803955,62,555,55.5,617,146.86,163.26
"// This is a half adder.
module half_adder( 
input a, b,
output cout, sum );",0,10,10,6,8,intermediate,1.0,1.0,1.0,1.0,3.7407219409942627,49,608,60.8,657,162.54,175.63
