question,first_correct_idx,total_outputs,correct_codes_len,unique_code_len,k,difficulty,pass_k_metric_compilation,pass_k_metric_functional_correctness,pass_k_metric_synthesisability,pass_k_metric_overall,metadata_time,metadata_input_tokens,metadata_output_tokens,metadata_avg_tokens_per_sample,metadata_total_tokens,metadata_output_tokens_per_second,metadata_total_tokens_per_second
"// This is a signed adder that adds two 8-bit 2's complement numbers. It also captures a signed overflow. 
module signed_adder(input [7:0] a, input [7:0] b, output [7:0] s, output overflow ); ",1,10,5,2,1,advanced,1.0,0.5,1.0,0.8333333333333334,7.863368034362793,86,1180,118.0,1266,150.06,161.0
"// This is a decade counter that counts from 0 through 9, inclusive. It counts only when slowena is high.
module count_slow(input clk, input slowena, input reset, output reg [3:0] q);",-1,10,0,0,1,advanced,0.0,0.0,0.0,0.0,18.55284595489502,75,2800,280.0,2875,150.92,154.96
"// This is a finite state machine that recognizes the sequence 101 on the input signal x. 
module adv_fsm(
input clk,
input reset,
input x,
output z ); 
reg [1:0] present_state, next_state;
parameter IDLE=0, S1=1, S10=2, S101=3;
// output signal z is asserted to 1 when present_state is S101 
// present_state is reset to IDLE when rset is high
// otherwise it is assigned next state
// if present_state is IDLE, next_state is assigned S1 if x is 1, otherwise next_state stays at IDLE
// if present_state is S1, next_state is assigned S10 if x is 0, otherwise next_state stays at IDLE 
// if present_state is S10, next_state is assigned S101 if x is 1, otherwise next_state stays at IDLE 
// if present_state is S101, next_state is assigned IDLE
",-1,10,0,0,1,advanced,0.0,0.0,0.0,0.0,20.23749542236328,247,2930,293.0,3177,144.78,156.99
"// Design a 64-bit arithmetic shift register, with synchronous load. 
// When ena is high, the shifter can shift both left and right, and by 1 or 8 bit positions, selected by amount.
module advshift(input clk,
input load,
input ena,
input [1:0] amount,
input [63:0] data,
output reg [63:0] q); 
// shift according to the following values of amount:
// 2'b00: shift left by 1 bit.
// 2'b01: shift left by 8 bits.
// 2'b10: shift right by 1 bit.
// 2'b11: shift right by 8 bits.",-1,10,0,0,1,advanced,1.0,0.0,1.0,0.6666666666666666,17.00009059906006,181,2490,249.0,2671,146.47,157.12
"// This is an ABRO FSM. 
// It outputs 1 when 1 is received for signals a and b irrespetive of their order, either simultaneously or non-simultaneously.
module abro( 
input clk,
input reset,
input  a,
input  b,
output z );
parameter IDLE = 0,
SA = 1,
SB = 2,
SAB = 3;
reg [1:0] cur_state,next_state;",-1,10,0,0,1,advanced,0.0,0.0,0.0,0.0,20.111034393310547,123,3000,300.0,3123,149.17,155.29
"// This is a module that assigns the output to the input
module wire_assign( input in, output out );",0,10,10,2,1,basic,1.0,1.0,1.0,1.0,1.864182949066162,50,270,27.0,320,144.84,171.66
"// This is a module that implements an AND gate
module and_gate( 
input a, 
input b, 
output out );",0,10,10,1,1,basic,1.0,1.0,1.0,1.0,2.270751476287842,54,330,33.0,384,145.33,169.11
"// This is a 3-bit priority encoder. It outputs the position of the first high bit.
module priority_encoder( 
input [2:0] in,
output reg [1:0] pos ); ",-1,10,0,0,1,basic,1.0,0.0,1.0,0.6666666666666666,8.50557279586792,70,1280,128.0,1350,150.49,158.72
"// This is a 2-to-1 multiplexer.
module mux( 
input [4:0] a, b,
input sel,
output [4:0] out );",0,10,10,1,1,basic,1.0,1.0,1.0,1.0,4.2271153926849365,64,630,63.0,694,149.04,164.18
"// This is a half adder.
module half_adder( 
input a, b,
output cout, sum );",0,10,10,1,1,intermediate,1.0,1.0,1.0,1.0,3.294327735900879,51,490,49.0,541,148.74,164.22
